list-none-none,1,10,1,30,92937,3097
list-none-none,1,100,1,300,189163,630
list-none-none,1,1000,1,3000,2985492,995
list-none-none,1,10000,1,30000,263643039,8788
list-none-none,1,20000,1,60000,1056941910,17615
list-none-none,2,1,1,6,862470,143745
list-none-none,2,10,1,60,67238,1120
list-none-none,2,100,1,600,165433,275
list-none-none,4,1,1,12,203540,16961
list-none-none,4,10,1,120,157034,1308
list-none-none,8,1,1,24,226139,9422
list-none-none,8,10,1,240,229542,956
list-none-none,12,1,1,36,363872,10107
list-none-none,12,10,1,360,408800,1135
list-i-none,2,1,1,6,154381,25730
list-i-none,2,4,1,24,126049,5252
list-i-none,2,8,1,48,121376,2528
list-i-none,2,32,1,192,92282,480
list-i-none,4,4,1,48,147503,3072
list-i-none,4,16,1,192,152648,795
list-i-none,8,2,1,48,237529,4948
list-i-none,8,8,1,192,247065,1286
list-i-none,12,1,1,36,308921,8581
list-i-none,12,2,1,72,360685,5009
list-d-none,2,1,1,6,102907,17151
list-d-none,2,2,1,12,65359,5446
list-d-none,2,4,1,24,99512,4146
list-d-none,2,16,1,96,105210,1095
list-d-none,2,32,1,192,151419,788
list-d-none,4,8,1,96,181690,1892
list-d-none,4,16,1,192,149191,777
list-d-none,8,1,1,24,223283,9303
list-d-none,8,4,1,96,257701,2684
list-d-none,8,16,1,384,250274,651
list-d-none,12,1,1,36,348720,9686
list-d-none,12,8,1,288,279573,970
list-d-none,12,16,1,576,328749,570
list-il-none,2,2,1,12,93357,7779
list-il-none,4,2,1,24,164460,6852
list-il-none,4,4,1,48,181635,3784
list-il-none,4,16,1,192,189236,985
list-il-none,8,1,1,24,202971,8457
list-il-none,8,2,1,48,227038,4729
list-il-none,8,8,1,192,263864,1374
list-il-none,8,16,1,384,218861,569
list-il-none,12,1,1,36,289055,8029
list-il-none,12,2,1,72,344022,4778
list-il-none,12,4,1,144,377419,2620
list-il-none,12,8,1,288,338978,1177
list-dl-none,2,1,1,6,111757,18626
list-dl-none,2,2,1,12,130728,10894
list-dl-none,2,4,1,24,99251,4135
list-dl-none,2,8,1,48,116775,2432
list-dl-none,2,32,1,192,148709,774
list-dl-none,4,1,1,12,153674,12806
list-dl-none,4,2,1,24,178606,7441
list-dl-none,4,8,1,96,170964,1780
list-dl-none,8,1,1,24,263167,10965
list-dl-none,8,2,1,48,263179,5482
list-dl-none,8,4,1,96,208134,2168
list-dl-none,12,1,1,36,311374,8649
list-dl-none,12,2,1,72,276009,3833
list-dl-none,12,8,1,288,327016,1135
list-i-m,12,32,1,1152,399323,346
list-d-m,12,32,1,1152,425273,369
list-il-m,12,32,1,1152,514253,446
list-dl-m,12,32,1,1152,405013,351
list-i-s,12,32,1,1152,568468,493
list-d-s,12,32,1,1152,735572,638
list-il-s,12,32,1,1152,846048,734
list-dl-s,12,32,1,1152,997497,865
list-none-none,1,1000,1,3000,2974185,991
list-none-m,1,1000,1,3000,2980238,993
list-none-m,2,1000,1,6000,5823507,970
list-none-m,4,1000,1,12000,13527877,1127
list-none-m,8,1000,1,24000,29298162,1220
list-none-m,12,1000,1,36000,44553461,1237
list-none-m,16,1000,1,48000,64644436,1346
list-none-m,24,1000,1,72000,95663300,1328
list-none-s,1,1000,1,3000,2937918,979
list-none-s,2,1000,1,6000,5907380,984
list-none-s,4,1000,1,12000,15458097,1288
list-none-s,8,1000,1,24000,34925331,1455
list-none-s,12,1000,1,36000,57029194,1584
list-none-s,16,1000,1,48000,79496703,1656
list-none-s,24,1000,1,72000,138388628,1922
